planner,mapName,problemIndex,numSteps,cost,timespent,success
0,map2.txt,0,5,4.790612999999999,0.003166452999721514,True
0,map2.txt,1,4,5.346872,0.0062966709992906544,True
0,map2.txt,2,19,17.411507,0.05089951700210804,True
0,map2.txt,3,8,8.443210999999998,0.019356155000423314,True
0,map2.txt,4,3,2.112876,0.003661028000351507,True
0,map2.txt,5,11,12.574849999999998,0.017977060000703204,True
0,map2.txt,6,9,6.196174999999999,0.008706933000212302,True
0,map2.txt,7,12,9.737091000000003,0.009893804999592248,True
0,map2.txt,8,3,1.4482879999999998,0.0023840030007704627,True
0,map2.txt,9,9,6.423120000000001,0.011679282997647533,True
0,map2.txt,10,9,11.813634999999998,0.002297891001944663,True
0,map2.txt,11,6,7.854900999999997,0.0025592849997337908,True
0,map2.txt,12,6,6.239437999999999,0.0029936719984107185,True
0,map2.txt,13,9,11.159077307179587,0.003049159000511281,True
0,map2.txt,14,15,17.529799307179587,0.008215063000534428,True
0,map2.txt,15,8,13.479349999999998,0.002670958001544932,True
0,map2.txt,16,4,4.680841,0.0030548289978469256,True
0,map2.txt,17,6,6.151632,0.008631456999864895,True
0,map2.txt,18,8,10.712491000000002,0.004122836002352415,True
0,map2.txt,19,9,7.448893000000001,0.20480534799935413,True
1,map2.txt,0,5,4.392452999999999,0.005505719997017877,True
1,map2.txt,1,6,6.530328000000001,0.002949961999547668,True
1,map2.txt,2,13,17.5021838,0.0037048720005259383,True
1,map2.txt,3,7,6.3845209999999994,0.003074750999076059,True
1,map2.txt,4,4,2.112876,0.002769519000139553,True
1,map2.txt,5,7,10.102920000000001,0.0025489369982096832,True
1,map2.txt,6,5,3.2351789999999996,0.002482208001310937,True
1,map2.txt,7,7,5.077035,0.0029908169999544043,True
1,map2.txt,8,4,1.448288,0.003082032999373041,True
1,map2.txt,9,7,6.822520000000001,0.0030981449999671895,True
1,map2.txt,10,5,6.5286149999999985,0.0024359100025321823,True
1,map2.txt,11,5,6.571860999999998,0.002744286000961438,True
1,map2.txt,12,6,5.740598,0.002927120000094874,True
1,map2.txt,13,10,13.621292,0.003592985998693621,True
1,map2.txt,14,11,16.839957999999996,0.004255039999407018,True
1,map2.txt,15,10,18.26612530717959,0.002941558999737026,True
1,map2.txt,16,4,1.5041630000000001,0.0028127900004619732,True
1,map2.txt,17,6,6.4370899999999995,0.0031325039999501314,True
1,map2.txt,18,8,10.329206000000001,0.00544177700066939,True
1,map2.txt,19,9,9.7191198,0.006103706000430975,True
2,map2.txt,0,4,4.696515,0.0026230820003547706,True
2,map2.txt,1,4,5.238572,0.0029994979995535687,True
2,map2.txt,2,10,8.819139,0.09255918800045038,True
2,map2.txt,3,5,5.734521000000001,0.025059871000848943,True
2,map2.txt,4,3,2.112876,0.003130125998723088,True
2,map2.txt,5,6,6.75146,0.019042580999666825,True
2,map2.txt,6,9,6.196174999999999,0.009242185999028152,True
2,map2.txt,7,9,9.438485,0.012014055999316042,True
2,map2.txt,8,3,1.4482879999999998,0.0030583320003643166,True
2,map2.txt,9,6,4.553140000000001,0.014275173001806252,True
2,map2.txt,10,8,10.250975,0.002585769001598237,True
2,map2.txt,11,4,4.481764307179586,0.0024854290022631176,True
2,map2.txt,12,6,6.239437999999999,0.0029826929967384785,True
2,map2.txt,13,6,11.122383307179586,0.003542379999998957,True
2,map2.txt,14,9,12.361269999999998,0.011178362998180091,True
2,map2.txt,15,8,13.479349999999998,0.002998916999786161,True
2,map2.txt,16,4,4.680841,0.0032701519994589034,True
2,map2.txt,17,6,6.151632,0.008090440998785198,True
2,map2.txt,18,7,8.236381,0.0040956970005936455,True
2,map2.txt,19,7,6.490019,0.19373354599883896,True
3,map2.txt,0,6,6.037205,3.354956518000108,True
3,map2.txt,1,9,10.337218,4.1994515619990125,True
3,map2.txt,2,6,5.870491200000001,4.200868986001296,True
3,map2.txt,3,11,12.1499634,4.424970239000686,True
3,map2.txt,4,8,10.920301999999998,4.245432952997362,True
3,map2.txt,5,5,6.4186179999999995,3.7033709839997755,True
3,map2.txt,6,11,8.695851000000001,4.032601161001367,True
3,map2.txt,7,9,8.744324199999998,3.704600744000345,True
3,map2.txt,8,9,5.434186199999999,3.5825712959995144,True
3,map2.txt,9,6,5.866284799999999,3.871421134997945,True
3,map2.txt,10,8,9.115124307179586,3.854933650000021,True
3,map2.txt,11,12,17.453566214359174,3.791648726997664,True
3,map2.txt,12,10,11.277842199999998,4.032344020000892,True
3,map2.txt,13,12,13.545529307179585,3.770736989001307,True
3,map2.txt,14,11,11.622283307179586,3.7241442070007906,True
3,map2.txt,15,10,12.836506800000002,3.484580869000638,True
3,map2.txt,16,7,2.3535190000000004,3.9014358009990247,True
3,map2.txt,17,7,6.6916111,4.087432059997809,True
3,map2.txt,18,10,11.163361,3.871412865999446,True
3,map2.txt,19,13,13.069096199999999,3.858360606998758,True
